Ref_Date,GEO,TRAFFIC,Vector,Coordinate,Value
2012,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
2013,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
2014,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
2015,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
2010,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2011,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2012,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2013,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2014,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2015,"Black Tickle, Newfoundland and Labrador",Other International sector,v65780700,5157.7,0.0
2010,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2011,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2012,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2013,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2014,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2015,"Black Tickle, Newfoundland and Labrador",Passenger flights,v65780701,5157.8,x
2010,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2011,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2012,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2013,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2014,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2015,"Cartwright, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780710,5160.1,x
2010,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2011,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2012,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2013,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2014,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2015,"Cartwright, Newfoundland and Labrador",Passengers enplaned,v65780711,5160.2,x
2010,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2011,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2012,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2013,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2014,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2015,"Cartwright, Newfoundland and Labrador",Passengers deplaned,v65780712,5160.3,x
2010,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2011,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2012,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2013,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2014,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2015,"Cartwright, Newfoundland and Labrador","Total, passenger sector",v65780713,5160.4,x
2010,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2011,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2012,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2013,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2014,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2015,"Cartwright, Newfoundland and Labrador",Domestic sector,v65780714,5160.5,x
2010,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2011,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2012,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2013,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2014,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2015,"Cartwright, Newfoundland and Labrador",Transborder sector,v65780715,5160.6,0.0
2010,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2011,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2012,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2013,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2014,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2015,"Cartwright, Newfoundland and Labrador",Other International sector,v65780716,5160.7,0.0
2010,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2011,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2012,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2013,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2014,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2015,"Cartwright, Newfoundland and Labrador",Passenger flights,v65780717,5160.8,x
2010,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2011,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2012,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2013,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2014,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2015,"Charlottetown, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780966,5218.1,x
2010,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2011,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2012,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2013,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2014,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2015,"Charlottetown, Newfoundland and Labrador",Passengers enplaned,v65780967,5218.2,x
2010,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2011,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2012,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2013,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2014,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2015,"Charlottetown, Newfoundland and Labrador",Passengers deplaned,v65780968,5218.3,x
2010,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2011,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2012,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2013,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2014,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2015,"Charlottetown, Newfoundland and Labrador","Total, passenger sector",v65780969,5218.4,x
2010,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2011,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2012,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2013,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2014,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2015,"Charlottetown, Newfoundland and Labrador",Domestic sector,v65780970,5218.5,x
2010,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2011,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2012,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2013,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2014,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2015,"Charlottetown, Newfoundland and Labrador",Transborder sector,v65780971,5218.6,0.0
2010,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2011,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2012,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2013,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2014,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2015,"Charlottetown, Newfoundland and Labrador",Other International sector,v65780972,5218.7,0.0
2010,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2011,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2012,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2013,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2014,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2015,"Charlottetown, Newfoundland and Labrador",Passenger flights,v65780973,5218.8,x
2010,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2011,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2012,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2013,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2014,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2015,"Churchill Falls, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65778902,57.1,x
2010,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2011,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2012,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2013,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2014,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2015,"Churchill Falls, Newfoundland and Labrador",Passengers enplaned,v65778903,57.2,x
2010,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2011,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2012,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2013,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2014,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2015,"Churchill Falls, Newfoundland and Labrador",Passengers deplaned,v65778904,57.3,x
2010,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2011,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2012,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2013,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2014,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2015,"Churchill Falls, Newfoundland and Labrador","Total, passenger sector",v65778905,57.4,x
2010,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2011,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2012,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2013,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2014,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2015,"Churchill Falls, Newfoundland and Labrador",Domestic sector,v65778906,57.5,x
2010,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2011,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2012,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2013,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2014,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2015,"Churchill Falls, Newfoundland and Labrador",Transborder sector,v65778907,57.6,0.0
2010,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2011,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2012,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2013,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2014,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2015,"Churchill Falls, Newfoundland and Labrador",Other International sector,v65778908,57.7,0.0
2010,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2011,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2012,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2013,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2014,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2015,"Churchill Falls, Newfoundland and Labrador",Passenger flights,v65778909,57.8,x
2010,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,x
2011,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,0.0
2012,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,..
2013,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,..
2014,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,..
2015,"Davis Inlet, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780726,5165.1,..
2010,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,x
2011,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,..
2013,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,..
2014,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,..
2015,"Davis Inlet, Newfoundland and Labrador",Passengers enplaned,v65780727,5165.2,..
2010,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,0.0
2011,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,..
2013,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,..
2014,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,..
2015,"Davis Inlet, Newfoundland and Labrador",Passengers deplaned,v65780728,5165.3,..
2010,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,x
2011,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,0.0
2012,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,..
2013,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,..
2014,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,..
2015,"Davis Inlet, Newfoundland and Labrador","Total, passenger sector",v65780729,5165.4,..
2010,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,x
2011,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,..
2013,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,..
2014,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,..
2015,"Davis Inlet, Newfoundland and Labrador",Domestic sector,v65780730,5165.5,..
2010,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,0.0
2011,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,..
2013,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,..
2014,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,..
2015,"Davis Inlet, Newfoundland and Labrador",Transborder sector,v65780731,5165.6,..
2010,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,0.0
2011,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,..
2013,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,..
2014,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,..
2015,"Davis Inlet, Newfoundland and Labrador",Other International sector,v65780732,5165.7,..
2010,"Davis Inlet, Newfoundland and Labrador",Passenger flights,v65780733,5165.8,x
2011,"Davis Inlet, Newfoundland and Labrador",Passenger flights,v65780733,5165.8,0.0
2012,"Davis Inlet, Newfoundland and Labrador",Passenger flights,v65780733,5165.8,..
